1.336664964766880459e+00,1.024042262143346482e+00,7.582703923893386877e-01
1.388266921562508527e+00,1.048498148964509324e+00,8.060348002190277361e-01
1.354835796106527379e+00,1.020575887779853641e+00,7.843505796727966439e-01
1.356447925398678755e+00,1.103639210739570942e+00,7.766175668524145648e-01
1.365809160750115492e+00,1.093707609832722305e+00,7.444916978416449282e-01
1.355296995306493946e+00,1.098738884932000115e+00,7.380805516468521565e-01
1.384411385650636372e+00,1.054601694228635589e+00,7.863016791085508661e-01
1.290193520131612370e+00,9.915931594238075464e-01,7.860596349303957675e-01
1.425133393657540104e+00,1.153466427438881503e+00,8.270529807457869254e-01
1.309926523354883354e+00,8.128880804372827784e-01,7.399254252282145838e-01
